RECEITA,INGREDIENTES,URL SITE,YOUTUBE,TEMPO,DIFICULDADE,CATEGORIAS
Sandes Suprema,"Sal grosso ,  lombo de porco, Manteiga ,  ramos de alecrim, Pickle de couve ,  pão à escolha, Molho:,  chalota,  dentes de alho,  cogumelos champignon,  cálices de aguardente, Vinagre balsâmico , ml de natas, Folhas de tomilho fresco , Pimenta , Sal ",https://www.24kitchen.pt/receita/sandes-suprema,https://www.youtube.com/watch?v=CayOFQJfaxQ&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=17,30,fácil,Prato Principal
Rabanadas Surpreendentes,"Creme Inglês de Coco:,  gemas,  colheres de sopa de açúcar,  chávena de leite de coco,  chávena de creme de coco, Rabanadas de Coco:,  pão de forma caseiro,  lata de leite de coco,  pacote de creme de coco,  ovos, Óleo , Açúcar , Canela , Chips de coco , Ganache de chocolate:, Ingredientes, g de chocolate, ml de natas",https://www.24kitchen.pt/receita/rabanadas-surpreendentes,https://www.youtube.com/watch?v=aiqFUA8El_A&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=18,60,dificil,"Sobremesa, Pequeno-almoço e Brunch"
Migas," ou  fatias de pão, Azeite , Sal , Pimenta , Alho em pó ,  couve-lombarda pequena, ½ chouriço,  fatias de picanha,  dentes de alho,  batata encarnada pequena, g de feijão encarnado malhado,  copo de vinho branco, Cebolinho ,  molho de salsa,  molho de manjericão",https://www.24kitchen.pt/receita/amigas,https://www.youtube.com/watch?v=PSUp1iz22vk&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=20,45,média,Prato Principal
Pato com Tons Laranja," coxas de pato, Anis estrelado triturado , Malagueta em pó , Cravinho , Canela , Sal,  laranja ,  boas cenouras, Vinagre de sidra , Açúcar mascavado , Piri-piri , Pimenta , Caldo de Pato, g de manteiga, Óleo ou azeite ,  ramo de alecrim",https://www.24kitchen.pt/receita/pato-com-tons-laranja,https://www.youtube.com/watch?v=5wOqCkujoW0&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=20,60,dificil,Prato Principal
Magret de Pato," peitos de pato,  dentes de alho,  clementina, Flocos de sal , Pimenta preta , Molho:, Sucos da marinada, Sumo de  clementina,  ramos de alecrim,  colher de sopa de doce de amora,  colher de sopa de mel,  chávena de caldo de legumes ,  mão de farinha,  copo de vinho do Porto,  chávena de caldo ",https://www.24kitchen.pt/receita/magret-de-pato,https://www.youtube.com/watch?v=RSWs__1XdfE&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=21,45,média,Prato Principal
Confit de Carnard," peitos de pato, Sal,  ramo de alecrim fresco,  dente de alho,  laranja,  ramo de tomilho,  folha de louro, ml de gordura de pato, kg de batata nova com pele, Espigos ",https://www.24kitchen.pt/receita/confit-de-canard,https://www.youtube.com/watch?v=4D3fg0xLvC4&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=23,45,média,Prato Principal
Fofinhos de Camarão,"Fofinhos de Camarão:, g de camarão, Sal, g de pão, dl de leite coco,  cebola,  dentes de alho, Óleo ,  pimentas vermelhas,  colher de sopa de farinha de trigo sem fermento,  colher de café de açafrão, dl de água de cozer o camarão,  ovos, Chutney de Manga:,  mangas grandes meio verdes,  dentes de alho,  pedaço de gengibre,  malaguetas vermelhas, ,dl de vinagre de vinho branco, g de açúcar, g de amêndoas, g de passas brancas, g de passas pretas",https://www.24kitchen.pt/receita/fofinhos-de-camarao,https://www.youtube.com/watch?v=d90i89bNito&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=22,45,média,Aperitivos e Petiscos
Xacuti,"kg de carne de porco , Sal,  colher de chá de sementes de alforvas,  estrelas de anis,  colher de chá de funcho,  colher de sopa de coentros em grão,  colher de chá de canela em pó,  colher de chá de curcuma,  colher de chá de cominhos moídos,  colher de chá de cravinho em pó,  colher de chá de noz-moscada,  colheres de sopa de coco ralado,  cebolas,  dentes de alho, Óleo vegetal,  pimentas vermelhas secas, dl de leite de coco,  coco em pedaços,  colher de sopa de polpa de tamarindo, g de batatas",https://www.24kitchen.pt/receita/xacuti,https://www.youtube.com/watch?v=zAqklBXrbCs&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=24,45,média,Prato Principal
Bebinca,"g de açúcar, ml de leite de coco,  gemas coadas, g de farinha de trigo sem fermento,  colher de café de noz-moscada moída,  colher de sobremesa de cardamomo em pó, g de manteiga, Canela ",https://www.24kitchen.pt/receita/bebinca,https://www.youtube.com/watch?v=6LLeG28E19A&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=25,45,média,Sobremesa
Bife Tártaro,"g de filet mignon fresquíssimo, Sal,  chalota,  alcaparras, Cogumelos Marrom , Azeite aromatizado com alho, Pimenta , Molho inglês , Mostarda Dijon ,  manga em cubos, Tequila ,  gema de ovo",https://www.24kitchen.pt/receita/bife-tartaro-1,https://www.youtube.com/watch?v=A9HfApdMpjs&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=26,30,fácil,Prato Principal
Massa de Gémeos,"Penne rigatoni, Sal,  folha de louro, Azeite , Pesto Encarnado:, g de tomate cherry,  pimento encarnado,  chalota , Sal , Pimenta , g de pinhão, Manjericão fresco , Queijo mozarela , Água ",https://www.24kitchen.pt/receita/massa-de-gemeos,https://www.youtube.com/watch?v=d8II-8uu8Uo&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=28,45,média,Prato Principal
Bolo de Bolacha,"Ingredientes,  pacote de bolacha maria, ml de chicória,  estrela de anis,  colher de sopa de brandy, Caramelo Salgado , Crocâncias de Caramelo Salgado:, g de açúcar mascavado, g de manteiga, g de amêndoa em palito, Sal , Creme:, ml de natas frescas, g de manteiga, g de açúcar em pó",https://www.24kitchen.pt/receita/bolo-de-bolacha-2,https://www.youtube.com/watch?v=LNYLin0tg6Q&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=27,30,fácil,Sobremesa
Rolos de Cordon Bleu," boas febras de porco, Fatias de queijo , Fatias de fiambre , Farinha , Ovo batido , Pão ralado , Óleo para fritar , Sumo de limão , Sal , Pimenta ",https://www.24kitchen.pt/receita/rolos-de-cordon-bleu,https://www.youtube.com/watch?v=7KsUe7lR0To&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=30,30,fácil,Prato Principal
Cúpula de Lasanha,"Azeite , Macarrão de lasanha , Mozarela , Molho bechamel , Queijo parmesão , Manjericão fresco , Pimenta preta , Recheio de Carne:, g de carne de vitela, Azeite ,  cebola,  dentes de alho,  folha de louro, Sal , Pimenta , g de polpa de tomate, Recheio de Espinafres:, g de espinafres,  ovo, g de requeijão,  dente de alho",https://www.24kitchen.pt/receita/cupula-de-lasanha,https://www.youtube.com/watch?v=1SfrJdKH47k&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=29,60,dificil,Prato Principal
Tarte de Limão Inesperada,"Massa Quebrada:, g de farinha de trigo sem fermento,  colher de sopa de açúcar, g de manteiga,  ovo,  limão, ml de água gelada, Gelatina:, g de açúcar mascavado, ml de água,  limões, g de gelatina em pó, Merengue:,  claras,  colheres de sopa de açúcar, Sumo de  limão",https://www.24kitchen.pt/receita/tarte-de-limao-inesperada,https://www.youtube.com/watch?v=R5jDYUrgOjU&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=31,45,média,Sobremesa
Gnocchis de Beterraba,"Folhas de Amaranth , Gnocchi:, kg de batata, Sal ,  boas beterrabas, Azeite , Pimenta ,  ovo, Cerca de g de farinha de trigo sem fermento, Manteiga , Molho:,  beterraba, g de queijo parmesão, g de amêndoa pelada, ml da água da cozedura dos gnocchi",https://www.24kitchen.pt/receita/gnocchi-de-beterraba,https://www.youtube.com/watch?v=9P3E63RlGhA&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=32,90,dificil,Prato Principal
Frango Hariyali,"kg de peito de frango cortado em cubos, Batatas , Sal ,  ramo de coentros frescos,  ramo de hortelã fresca, g de espinafres frescos,  malagueta verde,  dentes de alho,  pedaço de gengibre fresco, Sumo de  limão,  colher de chá garam masala,  colher de chá de cominhos em pó,  colheres de sopa de natas frescas, Azeite ",https://www.24kitchen.pt/receita/frango-hariyali,https://www.youtube.com/watch?v=SuZQG-Dphl4&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=33,45,média,Prato Principal
Queques Laranja,"Queques:,  kg de abóbora, Sumo de  clementina,  g de açúcar,  pitada de noz-moscada,  colher de chá de canela, g de manteiga,  ramo de alecrim,  ovos,  g de farinha de trigo sem fermento t.,  colher de chá de fermento em pó,  colher de chá de bicarbonato de sódio,  g de farinha de amêndoa,  g de farinha de noz, Cobertura de Clementina:, g de açúcar em pó, Raspa e sumo de  clementina + raspa de outra clementina, g de manteiga à temperatura ambiente",https://www.24kitchen.pt/receita/queques-laranja,https://www.youtube.com/watch?v=qUHh6h-cepk&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=34,60,dificil,Sobremesa
Robalo Surpresa," molho de acelgas,  bom robalo em filetes, Mostarda dijon , Golden syrup , Sumo de limão ., Azeite   Maçãs verdes , Beterraba , Sal ",https://www.24kitchen.pt/receita/robalo-surpresa,https://www.youtube.com/watch?v=H14ISxQ3nEw&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=35,45,média,Prato Principal
Bolão de Chocolate,"Bolo:, g de farinha de trigo sem fermento,  colher de chá de bicarbonato de sódio,  colher de sobremesa de fermento, g de cacau magro em pó, g de açúcar mascavado, ml de leite gordo, ml de óleo vegetal,  ovos, ml da água quente, Creme de avelã caseiro:, g de avelãs, g de cacau magro em pó, g de açúcar mascavado, ml de leite gordo,  colher de sopa de óleo vegetal,  pitada de sal, Recheio do bolo:, ml de natas frescas,  colher de sopa de essência de baunilha, ml de queijo creme, ml do creme de avelãs que já fez",https://www.24kitchen.pt/receita/bolao-de-chocolate,https://www.youtube.com/watch?v=sbgUJJzDZVE&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=36,90,dificil,Sobremesa
Sopa de Cardos com Bacalhau," molho de cardos,  dentes de alho,  ramo de poejo fresco,  ramo de coentros frescos,  ramo de hortelã da Ribeira fresca, Azeite , Sal ,  boa posta de bacalhau, Água da cozedura do bacalhau,  colheres de sopa de farinha de trigo sem fermento,  colheres de sopa de vinagre de sidra,  colher de café de pimentão doce,  fatias de pão,  chouriço",https://www.24kitchen.pt/receita/sopa-de-cardos,https://www.youtube.com/watch?v=sXtqLAe38dI&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=40,45,média,Sopas e Cremes
Migas com Corvina,"Azeite ,  tomate coração de boi maduro, Bastante Poejo fresco,  dente de alho, Sal ,  colheres de sopa de açúcar mascavado, Umas gostas de vinagre,  pão alentejano com dois ou três dias,  filetes de corvina, Farinha, Alho em pó , Noz-moscada , Cravinho em pó ,  ovo batidos, Pão ralado , Óleo para fritar ",https://www.24kitchen.pt/receita/migas-com-corvina,https://www.youtube.com/watch?v=GNXsm8DtjVU&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=38,45,média,Prato Principal
Bolo do Conde de Alcáçovas,"Bolo:,  ovos, g de açúcar, Manteiga , g de amêndoa triturada, g de doce de gila, Doce de Ovos:,  gemas, g de açúcar, ml de água, Fios de ovos:, g de açúcar, ml de água,  gemas, Merengue francês:,  claras,  colheres de sopa de açúcar",https://www.24kitchen.pt/receita/bolo-do-conde-de-alcacovas,https://www.youtube.com/watch?v=HWrRj5OOq-U&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=39,60,dificil,Sobremesa
Sandes de Casca de Banana,"Cascas de pelo menos  bananas, Sal , Pimenta , Vinho branco , Paprica fumada , Cominhos em pó , Mostarda dijon .,  dentes de alho, Coentros frescos ,  cebola, Caldo de legumes , ml de polpa de tomate, Pão brioche , Cebola Frita , Pickle de Couve:,  couve-lombarda,  couve roxa,  colheres de sopa de açúcar mascavado, Sal , Água a ferver  ml de vinagre de sidra ",https://www.24kitchen.pt/receita/sandes-de-casca-de-banana,https://www.youtube.com/watch?v=JTxabo9Fn74&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=42,45,média,Prato Principal
Empadão," cebola , g de feijão manteiga, Vinho branco , Cominhos , Cravinho , Gengibre em pó , Noz-moscada ,  tomates pelados e sem sementes,  colheres de sopa de amido de milho,  gema de ovo",https://www.24kitchen.pt/receita/empadao-1,https://www.youtube.com/watch?v=I1UIkuYxd7c&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=41,45,média,Prato Principal
Bolo Húmido,"Leitelho:, ml de bebida de soja,  colher de chá de bicarbonato de sódio,  colheres de sopa de vinagre de sidra ou sumo de limão, Massa:, g de creme vegetal à temperatura ambiente, g de açúcar mascavado, g de farinha de trigo sem fermento t, Puré de  maças cozidas, ml de leitelho vegano,  colher de sobremesa de fermento em pó,  colher de chá de bicarbonato de sódio, Polpa de  vagens de baunilha,  pitada de sal, Creme vegetal , Flores de camomila, Creme:, g de creme vegetal, Polpa de  vagem de baunilha, g de açúcar em pó,  pitada de sal, Muitas flores comestíveis para decorar ",https://www.24kitchen.pt/receita/bolo-humido-e-delicioso-e-vegano,https://www.youtube.com/watch?v=vrztgY6rR-A&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=43,90,dificil,Sobremesa
Bolinhol de Vizela," gemas coadas, g de açúcar branco,  ovos inteiros, g de farinha de trigo sem fermento, Flores comestíveis roxas, campestres, Calda:, ml de água, g de açúcar branco",https://www.24kitchen.pt/receita/bolinhol-de-vizela,https://www.youtube.com/watch?v=kGOUIMOFaBQ&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=46,45,média,Sobremesa
Bolo de Figos e Cenoura,"Chá de camomila , g de figos pingo de mel desidratados, Cerca de  cenouras raladas,  ovos inteiros,  claras de ovo, g de açúcar amarelo, ml de óleo vegetal, g de farinha de trigo sem fermento,  colheres de sobremesa de fermento em pó,  colher de chá de bicarbonato de sódio,  colher de café de curcuma em pó, Merengue suíço:,  claras,  colheres de sopa de açúcar",https://www.24kitchen.pt/receita/bolo-de-figos-e-cenoura,https://www.youtube.com/watch?v=ExffNncpEIo&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=44,45,média,Sobremesa
Toucinho do Céu,"g de amêndoa com pele,  gemas, Água , kg de açúcar branco,  colher de chá de canela em pó, g de doce de gila,  pitada de sal, Açúcar em pó ",https://www.24kitchen.pt/receita/toucinho-do-ceu-1,https://www.youtube.com/watch?v=SE6EsUFexB0&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=45,45,média,Sobremesa
Rosti,"kg de batatas, Água , Sal , Pimenta , Manteiga , Paio do lombo , Requeijão , Pasta de Brócolos:, Brócolos , Azeite , Sal , Pimenta , Molho de Iogurte:, Endro , Iogurte natural não açucarado , Pimenta ",https://www.24kitchen.pt/receita/rosti,https://www.youtube.com/watch?v=G6JrZVKcSvA&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=48,45,média,Prato Principal
Batata Recheada," batatas grandes e bonitas, Azeite , g de carne de vaca picada, Sal , Pimenta ,  colher de chá de pimentão doce,  folha de louro,  colheres de sopa de cerveja preta,  cebola pequena,  dentes de alho, g de espinafres picados, Queijo cheddar, Azeite",https://www.24kitchen.pt/receita/batata-recheada-1,https://www.youtube.com/watch?v=bTbnGt_PQDo&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=49,60,dificil,Prato Principal
Bolo de Batata e Chocolate,"g de manteiga à temperatura ambiente, g de açúcar amarelo,  ovos, ml de leite gordo, g de puré de batata, g de cacau magro em pó, g de farinha de trigo sem fermento,  colher de chá de essência de baunilha,  colher de sobremesa de bicarbonato de sódio, Sal , Frosting:, g de queijo creme, ml de caramelo líquido, g de açúcar em pó,  colheres de sopa de manteiga,  vagem de baunilha, Gotas de sumo de limão ",https://www.24kitchen.pt/receita/bolo-de-batata-e-chocolate,https://www.youtube.com/watch?v=BKcukoYYmKE&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=47,60,dificil,Sobremesa
Salada de Grão," couve-flor,  couve romanesca, g de grão-de-bico cozido, Azeite ,  dentes de alho, Paprika ,  folha de louro, Vinha branco , Molho:,  iogurte natural,  colher de sopa de tahini,  limão , Azeite ,  colher de açúcar,  ramo de salsa fresca, Pimenta",https://www.24kitchen.pt/receita/salada-de-grao,https://www.youtube.com/watch?v=ISkugtAXFb8&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=51,45,média,"Prato Principal, Saladas, Acompanhamento"
Vieiras Porreiras,"Arroz encarnado ,  vieiras grandes,  fatias de bom presunto, Ramos de alecrim fresco , Endívias , Chicória , Vinagre balsâmico , Sumo de limão , Sal , Pimenta , Manteiga , g de avelãs, Puré de couve-flor ",https://www.24kitchen.pt/receita/vieiras-porreiras,https://www.youtube.com/watch?v=72x29OZbmEM&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=50,60,dificil,Prato Principal
Pavlova,"g framboesa, Merengue:,  claras de ovo, Chávena e meia de açúcar em pó,  colheres de sopa de amido de milho,  colher de chá de curcuma em pó,  colher de sopa de vinagre, Raspa de  laranja,  colher de sobremesa de água de flor de laranjeira,  pitada de sal, Doce de Mirtilo:, Cerca de g de mirtilos,  colheres de sopa de açúcar, Chantilly:,  embalagem de nata fresca,  colher de sopa de aroma de baunilha,  colheres de sopa de açúcar refinado",https://www.24kitchen.pt/receita/pavlova-1,https://www.youtube.com/watch?v=iPiWnFsod8k&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=52,90,dificil,Sobremesa
Abóbora Recheada,"g de carne de borrego picada, Sal , Pimenta , Cominhos , Canela em pó , Sumo de  laranja,  cebola,  dentes de alho, g de grão-de-bico já cozido,  cenouras finamente picadas, g de arroz basmati já cozido,  molho de hortelã fresca bem picada,  molho de salsa fresca bem picada, Casca de  laranja, ml de melaço,  abóboras Hokkaido, Sugestão de molho de iogurte:,  iogurte natural não açucarado,  ramo de hortelã picada, Sal, Azeite, Pimenta, Sumo de laranja, Sementes de mostarda moídas",https://www.24kitchen.pt/receita/abobora-recheada,https://www.youtube.com/watch?v=JLJBCyNyF4Q&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=53,300,dificil,Prato Principal
Dan Dan Noodles,"g de carne de porco picada, Óleo de sésamo ,  colher de sopa de mel,  colher de sopa de manteiga de amendoim cremosa, Molho de soja qb., Hoisin , l de caldo de galinha, Noodles , Espinafres frescos macerados, Brócolos  macerados,  colheres de sopa de vinagre de arroz,  chalotas, Pimenta preta, Cebolinho fresco , Amendoins tostados triturados , Raspa de  lima, Óleo de alho e malagueta:, Óleo de sésamo ,  dentes de alho, Flocos de malagueta seca , Hoisin caseiro:, ¼ de xícara de molho de soja com baixo teor de sódio,  c. de sopa de manteiga de amendoim cremosa,  c. de sopa de mel,  c. de sopa de vinagre balsâmico,  c. de sopa de melaço,  c. de chá de  especiarias chinesa se em pó, Pimenta preta ",https://www.24kitchen.pt/receita/dan-dan-noodles,https://www.youtube.com/watch?v=jLQAjkGZACA&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=55,45,média,Prato Principal
Cheesecake de Baklava,"Creme:, g de queijo creme, g de açúcar branco refinado,  ovos,  colher de sobremesa de água de rosas, g de iogurte natural,  colher de chá de essência de baunilha, g de farinha de trigo sem fermento, Base:,  folhas de massa filo, g de miolo de noz, g de pistachos inteiros,  colheres de sopa de manteiga derretida, Sal , Mel , Canela , Xarope:, g de mel, Água de rosas , g de açúcar branco, Água ,  pau de canela",https://www.24kitchen.pt/receita/cheesecake-de-baklava,https://www.youtube.com/watch?v=_lxlGnM-NyM&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=54,60,dificil,Sobremesa
